filename,target_classes,recording_device,device_placement,recording_environment,scene_description,license,collector_id,non_target_classes
005454.wav,running_water,Iphone 13pro,static,kitchen,I was humming while pouring water into a cup to make coffee. Then I stirred the drink with a spoon and tapped the spoon on the edge of the cup. I placed the spoon on the table and then picked the cup up  to take a sip.,CC0 (Public Domain Dedication),fd6b4e9f9591e322,humming;spoon_clicking;slurrping
000602.wav,footsteps;light_switch;phone_ringing,iPhone 15 Pro Max,mobile,hallway;bedroom,"I walked towards the lightswitch, flipped it on and then my phone started ringing whilst I was walking around it without taking the call.",CC0 (Public Domain Dedication),cf5243602f603e81,
004981.wav,keyboard_typing;phone_ringing;window_open_close,Google Pixel 10a,static,living_room,"While I was typing on my keyboard, my phone started to ring. After it stopped ringing, I stopped typing. I moved the chair and looked through my papers. Then I opened the window next to me. The birds could be heard chirping outside. I closed the window again and started typing again.",CC0 (Public Domain Dedication),09fdafba0583027f,paper_scratching;chair_movement;birds_chirping_outside
001388.wav,footsteps;microwave;window_open_close;phone_ringing,iPhone 14 Pro,static,kitchen,"I walked towards my microwave, opened and closed it, started it and then opened the window. I got a phone call.",CC0 (Public Domain Dedication),4001ffe56d99b626,
002716.wav,cutlery_dishes;phone_ringing;keyboard_typing,Zenfone 9,static,office,"The person is sitting at the desk, eating lunch. They smack their lips a little while eating. A message arrives on their phone. They continue eating, then another message comes in. They finish eating and sniffle slightly. They move the plate aside, breathe out, and take a deep breath. They clear their throat, then start typing.",CC0 (Public Domain Dedication),f4aa2870190b42a0,eating;smacking_lips;sniffling;breathing;throat_clearing
004827.wav,toilet_flushing;running_water;footsteps,iPhone 15 Pro,mobile,bathroom,"I flushed the toilet and walked to the sink, then washed my hands.","CC-BY 4.0 (Attribution License), Author: Simon Gao",e7b2541fca16de1f,
005463.wav,toilet_flushing;light_switch;door_open_close,Honor Magic 5 Pro,mobile,toilet;hallway,"i flush the toilet, turn off the light, and close the door.",CC0 (Public Domain Dedication),bb2f95f2c4c34f0a,wind
004808.wav,microwave;running_water;cutlery_dishes,iPhone 16 Pro,static,kitchen,I turned on the microwave and washed my hands. Then I dried them with a towel and placed a plate in the designated area.,CC0 (Public Domain Dedication),7768bee53557cd2e,towel_rustling;button_pressed
001115.wav,running_water;cutlery_dishes,Iphone 15 Pro,static,kitchen,"I turned the water, washed the dishes, turned off the water, put the dishes and a fork",CC0 (Public Domain Dedication),f125c6e647565367,
004815.wav,bell_ringing;footsteps;door_open_close,iPhone 17,mobile,stairwell,"doorbell ringing, walking down the stairs, opening and closing doors",CC0 (Public Domain Dedication),fd32a902f9861bd6,breathing
005212.wav,toilet_flushing;footsteps;running_water;light_switch,iPhone 15 Pro,static,bathroom,"I flushed the toilet, went to the sink and washed my hands, used the towel to dry my hands, switch off the light and went out of the bathroom.",CC0 (Public Domain Dedication),92f3815119302f71,
001456.wav,microwave;vacuum_cleaner;running_water,Onepluss 11,mobile,kitchen,I turned on the vacuum cleaner then went to the microwave and then turned on the water,CC0 (Public Domain Dedication),1edb18798dd074eb,
005359.wav,toilet_flushing;keychain;door_open_close,Apple Iphone 12,mobile,bathroom;hallway,"I flushed the toilet. Then I picked up my keys, opened the door and went out of the apartment",CC0 (Public Domain Dedication),d3b919d6e4d5772a,
004877.wav,footsteps;keychain;door_open_close,Realme RMX3710,mobile,hallway,"I walked toward the entrance door. When I reached the door, I picked up my keychain, which caused the jingling. I opened it briefly and then closed it before walking away from the entrance.",CC0 (Public Domain Dedication),3f227415ae1d84b3,squeaky_parquet
000833.wav,cutlery_dishes;keyboard_typing,Iphone_16,static,bedroom,"I'm working on a research paper, while I'm drinking tea.",CC0 (Public Domain Dedication),eb71aec053bf8131,traffic
003023.wav,toilet_flushing;door_open_close;footsteps;keyboard_typing;phone_ringing,IPhone 15 Pro Max,mobile,toilet;hallway;office,"I flushed the toilet and walked through a small hallway. While I went back to the office, my colleges phone phone rang next to him while he was typing. After a small time he turned down the call.",CC0 (Public Domain Dedication),0ada14bcb30cabc5,
005443.wav,door_open_close;running_water,iPhone 16,mobile,kitchen,"I went into the kitchen, took out a glass from the cupboard and filled it with some water.","CC-BY 4.0 (Attribution License), Author: Wania Anjum",0622a3cb57a94a18,
000718.wav,footsteps;light_switch;running_water,iPhone 17,mobile,living_room;bathroom,"I walked into the bathroom, turned on the light and got a glass of water.",CC0 (Public Domain Dedication),e784cac91655697b,
000489.wav,vacuum_cleaner,Iphone 13 Pro,static,kitchen,"I moved the vacuum cleaner, and that sound is audible before turning it on. I then turned it on and started vacuum cleaning. While vacuum cleaning, I also started coughing, and the cough is audible as a non-target sound.","CC-BY 4.0 (Attribution License), Author: Andre Navas Rivera",eceb78118e7a2e8d,vacuum_cleaner_movement;cough
003137.wav,running_water;cutlery_dishes,Xiaomi 11T Pro,static,kitchen,"I let the water run and then washed off some cutlery, drying them and then placing them to the rest of the cutlery in the open drawer.",CC0 (Public Domain Dedication),06df562730e79078,tv_noises
005525.wav,keyboard_typing,iPhone 16 Pro Max,static,bedroom,"I turne on my pc, monitor, headset, opened Visual Studio code and started typing","CC-BY 4.0 (Attribution License), Author: Yevhenii Andriichuk",2002e11290437464,pc_turning_on_off;mouse_clicking
002743.wav,light_switch;footsteps,iphone,mobile,bedroom,Light switch turned on and off while a person walks.,"CC-BY 4.0 (Attribution License), Author: Le Thao Nhi Nguyen",30597408a9a67e8f,
005622.wav,wardrobe_drawer_open_close;footsteps;keychain;door_open_close,Samsung Galaxy J8,mobile,hallway,"I closed the wardrobe opened the door, locked it and went out","CC-BY 4.0 (Attribution License), Author: Zoha Ebrahimi",ef1fa3cc3dd9a201,door_locking;rustling_fabric
003244.wav,keyboard_typing;light_switch,iPhone 16 Pro,mobile,bedroom,I am holding the phone while sitting at my desk. I start typing on the keyboard and click the mouse a few times. Then I toggle the light switch to turn the table lamp on and off.,CC0 (Public Domain Dedication),d5983bb02105e2cf,mouse_click
005231.wav,footsteps;keychain;light_switch;door_open_close,Iphone 14 Pro,mobile,hallway,"went to put my slippers, picked my keys, turned the lights off opened the door to get outside and turned the outside lights on",CC0 (Public Domain Dedication),9ca0cde9a2a44952,
003383.wav,footsteps;window_open_close;door_open_close,ASUS VivoBook S14,mobile,living_room,"I walk to the Window to open it, a car drives past. Next a walk in to the bedroom and open the door so i can open the bedroom window as well.","CC-BY 4.0 (Attribution License), Author: Michael Pesendorfer",55d540c2ac092af4,car_driving
005041.wav,light_switch;vacuum_cleaner;footsteps,Iphone 16 Plus,static,room,I opened the lights and started vaccuuming while coughing. I then cleaned the surface of the table,"CC-BY 4.0 (Attribution License), Author: Tal Yampolsky",8188e21ddcde2c4a,cough;wiping_surface
000443.wav,phone_ringing;keyboard_typing,Samsung s21,static,bedroom,phone rings as my kettle is boiling water while Iam typing on my keyboard,CC0 (Public Domain Dedication),3299057fa6caeb14,laptop_fan;kettle
002297.wav,keyboard_typing;phone_ringing,Samsung S23 Ultra,static,bedroom,I was working on my system while doing the same the phonebell rang,CC0 (Public Domain Dedication),27699e7aa52c3add,
000895.wav,keyboard_typing,Samsung Galaxy A55,static,living_room,"I move the chair, cough and sit at the table,  then I type on a keyboard for several seconds.",CC0 (Public Domain Dedication),1508345d0b19156f,chair_movement;cough
004745.wav,keyboard_typing;phone_ringing;keychain,Samsung Galaxy A33,static,bedroom,"A phone is ringing while keyboard typing sounds can be heard. At the end, a keychain is picked up and put back in place.",CC0 (Public Domain Dedication),3a5b6d905b4908d1,keychain_dropping
001475.wav,phone_ringing;toilet_flushing,Xiaomi Poco X3,mobile,hallway;toilet;bedroom,"While in bed, phone starts ringing. Getting out of bed, approaching the toilet and flushing it.",CC0 (Public Domain Dedication),e399d2af2ac34c31,"fabric,_human"
000503.wav,bell_ringing;footsteps;keychain;door_open_close,Pixel 7 Pro,mobile,hallway,Bell ringing. Walking to door. Keychain. Open and close the door.,"CC-BY 4.0 (Attribution License), Author: Andreas Patuzzi",aa5804f2ac27072a,
001987.wav,door_open_close;footsteps;window_open_close;vacuum_cleaner,Surface Pro 8,mobile,bedroom,"I opened the bedroom door. I went to the window. I opened the window. I took the vacuum clearner from the station and turned it on, vacuumed, put it back to into the station. I closed the window.",CC0 (Public Domain Dedication),23f33a22e31d3072,dog_barking
003881.wav,footsteps;running_water;toilet_flushing,iPhone 15,mobile,bathroom,"I started recording outside the bathroom and walked in, producing clearly audible footsteps on the tile floor. I then turned on the tap and let the water run for several seconds before turning it off. I then flushed the toilet and waited for it to finish.","CC-BY 4.0 (Attribution License), Author: Nikolay Krastev",d22d02d0525dd67a,bathroom_fan
002711.wav,footsteps;wardrobe_drawer_open_close;vacuum_cleaner,Zenfone 9,mobile,hallway,"After a few footsteps, a cupboard door opens and the sound of removing the vacuum cleaner is heard. This is followed by the cupboard door closing. Then footsteps are heard together with the sounds of moving the vacuum cleaner. The vacuum cleaner starts, is switched to a higher setting, and then stops. Footsteps are heard again, along with the rattling of the vacuum cleaner’s plastic parts.",CC0 (Public Domain Dedication),f4aa2870190b42a0,vacuum_cleaner_plastic_rattling
005253.wav,light_switch;vacuum_cleaner;running_water,HP Notebook,static,bathroom,"I switched on the light, turned the vacuum cleaner on. Then turned it off again, turned the water on and off and switched off the light.",CC0 (Public Domain Dedication),7bbea876ef19083f,
004077.wav,keyboard_typing;cutlery_dishes,Galaxy A23,static,office,"I was writing an essay on my laptop. I was doing it for a long time, so I went for a sip of water from my glass.",CC0 (Public Domain Dedication),7de963de067e99c7,
002688.wav,footsteps;wardrobe_drawer_open_close;window_open_close,Iphone 15,mobile,bedroom,"I walked to my wardrobe and opened it. Next to it is my window, which I first opened fully, then I adjusted it to be open only on the top. After that i just closed my wardrobe.",CC0 (Public Domain Dedication),b6510df984245bb9,
005490.wav,footsteps;window_open_close,iPhone 13 Pro Max,mobile,living_room,"I stood at the cabinet and opened a drawer to search for my keys, rattling the keychain while looking.","CC-BY 4.0 (Attribution License), Author: Xhonatan Serjani",0a7fded0819fc9e2,snoring;phone_alarm
000759.wav,keyboard_typing;phone_ringing,iphone_17pro,static,bedroom,I got a call when I was doing doing work on my laptop,CC0 (Public Domain Dedication),922fad41ef667aad,
001213.wav,cutlery_dishes;window_open_close;keyboard_typing,iPhone 13,static,bedroom,"I was sitting on my chair, got up, closed the window and sat back down. I picked up my tea, with a spoon inside it, took a sip and placed it back on my desk. Finally I started typing on my keyboard.",CC0 (Public Domain Dedication),92cd3ef4cf09c0fd,chair_squeaking;swallowing
002432.wav,toilet_flushing;running_water;footsteps,iphone 11,mobile,toilet,"After using the toilet, I pressed the lever to flush it. I then walked over to the sink and washed my hands.",CC0 (Public Domain Dedication),0f8dd46239d73a0a,breathing
004831.wav,keyboard_typing;vacuum_cleaner;phone_ringing,iPhone 15 Pro,static,office,"I typed on my laptop keyboard, then someone started vacuuming outside the office, then a phone rang.","CC-BY 4.0 (Attribution License), Author: Simon Gao",e7b2541fca16de1f,
003703.wav,microwave;cutlery_dishes;running_water,iPhone 12 Pro Max,static,kitchen,"Microwave is working. Microwave beeps, I open the door and take out the plate. I put the plate on the kitchen counter. I open the water in the sink.","CC-BY 4.0 (Attribution License), Author: Mykhailo Otroshko",495fc0c17b5565e2,microwave_beeping
003787.wav,window_open_close;footsteps;keyboard_typing,Samsung Galaxy A54,static,office,"I opened my window and walked to my desk, then i pulled the chair back and sat down, then i opend an energy drink, then i stated typing on my keyboard and took a sip of my drink during it",CC0 (Public Domain Dedication),c40197c11ee897a4,pulling_chair_back;open_energy_drink;slurping
004710.wav,footsteps;door_open_close;light_switch;running_water,Pixel 8 Pro,mobile,bathroom,"I walk into the bathroom opening the door and turning on the light. I take my electric toothbrush, rinse it with water and apply toothpaste. I rinse the toothbrush again and start brushing my teeth.","CC-BY 4.0 (Attribution License), Author: Sebastian Pichler",4552d70cc1dcda46,electric_toothbrush
004134.wav,microwave;cutlery_dishes;phone_ringing,Motorola Moto G54,static,kitchen,"I closed the microwave and turned it on. Then I opened a wardrobe, picked up the cookware and put it inside. After that I closed the wardrobe.",CC0 (Public Domain Dedication),33c2fe38575e6e74,
004537.wav,footsteps;keychain;door_open_close,Samsung Galaxy  54,mobile,apartment_hallway,"I was walking towards the door, opened the door with my keys, closed the door, set the keys down.",CC0 (Public Domain Dedication),4547f5bda769cf0d,
000829.wav,toilet_flushing;footsteps;running_water,Iphone_16,static,bathroom,"I flush down the toilet, I walk up to the sink, then I wash my hands and leave.",CC0 (Public Domain Dedication),eb71aec053bf8131,
005311.wav,keychain;wardrobe_drawer_open_close;door_open_close;running_water,Samsung Galaxy S21 FE,mobile,living_room,"I closed the door with the keys, opened the wardrobe, closed the wardrobe, opened the door to the toilet, turned on the water tap, washed my hands and closed the tap.","CC-BY 4.0 (Attribution License), Author: Valerii Oliinyk",48fb7721443b51bc,
002713.wav,cutlery_dishes;footsteps;coffee_machine,Zenfone 9,mobile,kitchen,"As they shuffle along, the spoon rattles in the coffee cup. They place it under the coffee machine and switch it on. They sniffle, cough, and clear their throat. AS the coffemashine stops, some dripping is heard. Then they take the cup and set it down on the table.",CC0 (Public Domain Dedication),f4aa2870190b42a0,sniffling;coughing;throat_clearing
002973.wav,wardrobe_drawer_open_close;phone_ringing,Iphone 17 pro max,static,bedroom,"I opened the wardrobe, rummaged through the hangers, then the phone rang.",CC0 (Public Domain Dedication),fc95f5d2c86159e0,hangers_moving
000130.wav,footsteps;door_open_close,IPHONE 13 PRO,mobile,bedroom,"walking through the door, closing it, walking again","CC-BY 4.0 (Attribution License), Author: Adam Zebilah",635ebc7bc40c42ef,breaths
002542.wav,running_water;cutlery_dishes;footsteps;door_open_close,Android_phone,mobile,kitchen,Running water while handling dishes and walking to open a door.,CC0 (Public Domain Dedication),77e9dafc6c58efc0,
002794.wav,keychain,iPhone 14 Pro Max,static,bedroom,The phone is placed on a table in the bedroom. A keychain lying on the table is picked up and swung briefly. Afterwards it is placed back on the table.,CC0 (Public Domain Dedication),7c341b05b6cff491,
005528.wav,keyboard_typing;window_open_close,Samsung Galaxy S20 Ultra 5G,static,office,"I am typing on a keyboard, stand up from the table slightly moving the chair, open the window, sit back down slightly moving the chair, take a piece of paper, click the pen, write down some notes on the piece of paper.",CC0 (Public Domain Dedication),9c2d4c4bec4e5c7c,desk_chain_moving;paper_handling;pen_click;writing_on_paper
002468.wav,microwave;cutlery_dishes;footsteps,PC microphone,static,kitchen,I started the microwave and handled some cutlery on the counter.,CC0 (Public Domain Dedication),6e86999badc294b8,
000534.wav,running_water;cutlery_dishes;bell_ringing;keychain;door_open_close,iPhone 13,static,kitchen,I rinsed my hands under running water. Then opened the drawer and put aside some cuttlery. While I was doing so the doorbell rang. So I stopped what I was doing and grabbed my keys. Went out and closed the door.,CC0 (Public Domain Dedication),53cf24fd432c111c,kitchen_drawer_open_close
002450.wav,running_water;cutlery_dishes,iPhone 15,static,kitchen,Water is running from the kitchen tap while I am washing the dishes and the cutlery. Both sounds can be heard simultaneously.,"CC-BY 4.0 (Attribution License), Author: Jürgen Fehrer",dec7e6d4f607f66a,
002155.wav,cutlery_dishes;door_open_close;footsteps;keyboard_typing;light_switch,Samsung Note 20 Ultra,static,bedroom,"I typed on my laptop keyboard, then put it aside, stood from the bed, and took a sip out of my coffee mug. Then I opened the door, flipped the lightswitch and closed the door from the other side.",CC0 (Public Domain Dedication),9a14498ab5e1b587,creaking;drinking
004924.wav,toilet_flushing;running_water,Meta_Ray_Ban,mobile,bathroom,"I flushed the toilet. Then, I cleared my throat while washing hands. In the end, I wiped my hands using the towel",CC0 (Public Domain Dedication),ef2f2a29de91599e,throat_cleaing;soap_cap_tapping;hands_wiping
000421.wav,footsteps;wardrobe_drawer_open_close,Samsung Galaxy A25,static,living_room,"I walked up to the drawer, opened it, moved around the contents, and then I’ve closed it and walked away.","CC-BY 4.0 (Attribution License), Author: Amelia Anna Kimaro",16be35aa794863dc,foil_rustle;inhale
000760.wav,wardrobe_drawer_open_close;footsteps,iphone_17pro,mobile,bedroom,I walked up to my wardrobe and then opened it to take clothes and then I closed and walked back,CC0 (Public Domain Dedication),922fad41ef667aad,clothes_rustling
001603.wav,microwave;toilet_flushing,OnePlus Nord CE 6,static,kitchen;toilet,The device is placed in the hallway between the kitchen and the bathroom. I start the microwave in the kitchen and then walk into the bathroom to flush the toilet.,"CC-BY 4.0 (Attribution License), Author: Erik Jochman",95fb563e296af190,
003183.wav,toilet_flushing;running_water;door_open_close,Samsung Galaxy S20 FE,mobile,bathroom,"I flushed the toilet, washed my hands and opened the door",CC0 (Public Domain Dedication),2af4b805f62e7f34,
001470.wav,window_open_close;footsteps;light_switch;wardrobe_drawer_open_close,Iphone 13,mobile,living_room;bedroom,"I closed the window and the blinds. Then, I walked to my bedroom, turned on the lights, and opened a drawer in my cabinet to change.",CC0 (Public Domain Dedication),6243b4e793a8b76c,traffic
004253.wav,toilet_flushing;footsteps;running_water,iPhone 16 Pro Max,mobile,toilet;hallway,I flushed the toilet and then went to the bathroom to wash my hands.,CC0 (Public Domain Dedication),332fa5e8522c623a,
001689.wav,running_water;cutlery_dishes;phone_ringing,Huawei P20 Pro,static,kitchen,"I was washing dishes, when an alarm on my phone went off. I turned off the water and stopped the alarm",CC0 (Public Domain Dedication),b2b28a96c509f8ae,dishwasher_noise
000756.wav,door_open_close;toilet_flushing;running_water;light_switch;footsteps,iphone_17pro,static,bathroom,"I walked to my toilet,opened the door,switched the lghts on flushed the toilet and turned off the lights and then closed the door and washed my hands",CC0 (Public Domain Dedication),922fad41ef667aad,
000562.wav,window_open_close;door_open_close;keychain,iPhone 17 pro,mobile,bedroom;kitchen,"I walk around my room with my keys in my hand and they jingle. I close the window, go to the door, close the door and leave the room.","CC-BY 4.0 (Attribution License), Author: Andrian Poliakov",e7008611ee730e35,
002395.wav,vacuum_cleaner;phone_ringing;footsteps,iPhone 17,mobile,living_room,"I walked across the living room to the vacuum cleaner and turned it on. While vacuuming, my mobile phone rang, I turned off the vaccuum cleaner and answered the phone",CC0 (Public Domain Dedication),2b26bf9db2f3134c,
003503.wav,bell_ringing;footsteps;door_open_close,Samsung Galaxy A71,static,living_room,"bell ringing,walking to the door,opening the door,closing the door",CC0 (Public Domain Dedication),5c805c80c2c08579,
003811.wav,keyboard_typing;phone_ringing,Google Pixel 8 Pro,static,office,"I worked on my computer, then i got a call on my phone.","CC-BY 4.0 (Attribution License), Author: Nicolas Ulbricht",4bcdbe2b74e9534d,fan_humming;mouse_clicking;desk_chair_moving
001047.wav,toilet_flushing;running_water,IPhone 15,mobile,toilet,"I flushed the toilet. I then went to the sink and washed my hands. Afterwards, I coughed.",CC0 (Public Domain Dedication),f7ee1100408161a3,clothing_rustle;cough
003552.wav,door_open_close;vacuum_cleaner;light_switch;footsteps,Iphone12 ,mobile,bedroom,"I  plugged the vaccum cleaner beforerhand and went to get one the missing heads used for the corners , the recording is basically me opening the door switching the light and waking to turn on the vaccume cleaner ",CC0 (Public Domain Dedication),f0bf33de3988bcef,
000513.wav,vacuum_cleaner;toilet_flushing,iPhone 17,static,hallway;bathroom,I am vacuuming in the hallway as someone is flushing the toilet. Device was placed on a shelf in the hallway right next to the small bathroom; bathroom door was open.,"CC-BY 4.0 (Attribution License), Author: Andreas Resch",6c4f5fbc71193ac3,
004991.wav,bell_ringing;door_open_close;footsteps,Samsung Galaxy A16,mobile,hallway,"I ring the doorbell, walk to the door then open and close the door",CC0 (Public Domain Dedication),73aa6c50149ce829,
003736.wav,light_switch;door_open_close;toilet_flushing,IPhone 12 Pro Max,mobile,toilet;hallway,"I turned on the light in the toilet and opened the door. After placing some hygiene items inside, I flushed the toilet. The flushing sound continued for a short time before I closed the door and then colsed the door.","CC-BY 4.0 (Attribution License), Author: Najem Aldin Najemaldin",25d92d992b42b288,
003778.wav,cutlery_dishes;keyboard_typing,Samsung Galaxy S21 5G,static,living_room,I typed on the keyboard while someone near me was eating. I also drank some water.,"CC-BY 4.0 (Attribution License), Author: Nevena Rogova",26a242adaa5bb590,chair_squeaking;drinking_water
003856.wav,toilet_flushing;running_water,Samsung_S23,static,bathroom,I flushed the toilet while the bathroom tap ran. The toilet's gurgle and running water overlapped for 2 seconds.,"CC-BY 4.0 (Attribution License), Author: Nikita Zychowska",80abc60ed3a88b53,toilet_flush_echo;towel_rustling
001703.wav,footsteps;light_switch;wardrobe_drawer_open_close,Apple iPhone 17 Pro,mobile,living_room,The phone was carried on the person throughout the recording. The person walked towards a light switch and turned it on then walked to a drawer and opened it leaving it open for a couple of seconds before closing it. After a brief exhale the person walked back to the light switch turned it off and walked away.,CC0 (Public Domain Dedication),4c771dca2f60f51d,breathing
001308.wav,running_water;bell_ringing;door_open_close,iPhone 16 Plus,mobile,bathroom;hallway,"I am washing my hands at the sink while water is running. Then the apartment doorbell rings repeatedly in the hallway. I walk to the door, and open and close it. Slightly overlap","CC-BY 4.0 (Attribution License), Author: Dmytro Bondarenko",6281505830f11d19,none
005065.wav,bell_ringing;footsteps;keychain;door_open_close,Iphone 15,mobile,hallway,The doorbell rang. I walked towards the door and  picked up my keys and  inserted the key into the lock and opened it. Finally I opened the door,CC0 (Public Domain Dedication),85a7c1d57709169d,
004961.wav,door_open_close;footsteps;light_switch;wardrobe_drawer_open_close,iPhone 17 Pro ,mobile,bedroom,"I opened the door of the bedroom and turned on the light. I walked towards the wardrobe. opened it and got a shirt out. I closed the wardrobe and left the room, closing the door.",CC0 (Public Domain Dedication),47855d2c2969abb1,"farbric_sounds,_phone_in_pocket;hangers_moving"
005455.wav,running_water;cutlery_dishes,Iphone 13pro,mobile,kitchen,"I squeezed the soap bottle to put soap on the loofah. Then I opened the tap to wet the loofah and closed it again. I took a dish from a pile of dishes and started cleaning it with the loofah. After that, I reopened the tap to rinse the soap off the dish. Finally, I placed the dish on the table and dried my hands with a towel.",CC0 (Public Domain Dedication),fd6b4e9f9591e322,soap_dispenser;towel_rustling
000271.wav,microwave;phone_ringing;keyboard_typing,iPhone 15 Pro,static,living_room,While microwave was woking i recieved notifiactions and typed the responses,CC0 (Public Domain Dedication),285292f33916448a,
001305.wav,keyboard_typing;wardrobe_drawer_open_close,iPhone 16 Plus,static,office,"I am sitting at a desk typing on a computer keyboard. At one point a nearby drawer was close. While typing, I occasionally click the mouse. Overlapping sounds","CC-BY 4.0 (Attribution License), Author: Dmytro Bondarenko",6281505830f11d19,mouse_click
001204.wav,microwave;cutlery_dishes,iPhone 14,mobile,kitchen,I used the microwave and moved dishes on the counter.,CC0 (Public Domain Dedication),a828df6520423c33,
002774.wav,toilet_flushing;door_open_close;light_switch;footsteps,iPhone 13,mobile,toilet,"I flushed the toilet and then opened and closed the door. I walked to the bathroom, switched on the light, and walked towards the sink.",CC0 (Public Domain Dedication),b6c6cb5e262134f3,
002578.wav,keyboard_typing;phone_ringing;footsteps,Poco X5 Pro 5G,static,bedroom,Working on my laptop and then the phone rings then go outside,"CC-BY 4.0 (Attribution License), Author: Khizar Amjad",2feff8d566fef5f9,
004184.wav,keychain;door_open_close;footsteps,iPhone-14-Pro,mobile,hallway,I unlocked the door and entered my appartment,"CC-BY 4.0 (Attribution License), Author: Paul Breburda",cc4b2ec22d474544,
005226.wav,footsteps;door_open_close;light_switch,Iphone 14 Pro,mobile,hallway,"walking in the hallway, entering the living room and turning on the lights",CC0 (Public Domain Dedication),9ca0cde9a2a44952,
002934.wav,footsteps;light_switch;keychain;door_open_close,Nothing Phone 3(a),mobile,living_room,"I came to my room, opened it with my keys, closed the door and turned on the light",CC0 (Public Domain Dedication),9187c88d2f9eee05,
001395.wav,window_open_close;cutlery_dishes;phone_ringing,iPhone 11,static,living_room,"The device was placed on a stable surface. I first opened the window and then sat down on a chair, which created a non-target sound. After that, I stirred tea with a spoon. While I was stirring, a phone ringing or notification sound occurred and overlapped with the cutlery sound.","CC-BY 4.0 (Attribution License), Author: Efe Oral",e80a18d1cfb9d0ad,chair_movement
004767.wav,keyboard_typing;phone_ringing,iPhone 11 Pro Max,static,bedroom,"I put the phone on the table and started typing for some seconds then the phone started ringing, I kept typing for few seconds while the phone is still ringing then I stopped recording",CC0 (Public Domain Dedication),6dfe2c7d14ec5c9f,
002563.wav,vacuum_cleaner;footsteps;door_open_close;light_switch,Samsung Galaxy A21,mobile,bedroom,"I vacuumed the bedroom, left the cleaner running, walked to the other room to unplug it, by doing so opened a door and switched on the light.",CC0 (Public Domain Dedication),ebf8a7d21a2be3cb,
003365.wav,keychain;microwave;phone_ringing;footsteps,iPhone 11,static,kitchen,I walked down my kitchen with keychain in my hands while the microwave was running and the phone was ringing.,"CC-BY 4.0 (Attribution License), Author: Michael Hüttenberger",e0a5a0b636864507,
003893.wav,footsteps;light_switch;wardrobe_drawer_open_close,Google Pixel 9a,mobile,bedroom;hallway,"I walked from the hallway into the bedroom, turned on the light switch, walked to the wardrobe, opened the wardrobe doors and opened a drawer. Searched for a specific t-shirt, took it, closed the drawer and the wardrobe doors, walked to the light switch, turned the light switch off and walked out of the bedroom.",CC0 (Public Domain Dedication),7cefcee6f1c1f41a,breathing;drawer_rustling
005421.wav,footsteps;running_water;phone_ringing;light_switch,Samsung Galaxy A22 5G,mobile,kitchen,"I went to the sink and turned on the water. Then my phone rang, but the light shut off, and I tried to turn it on a few times.",CC0 (Public Domain Dedication),590dcfcf21835dae,
004658.wav,bell_ringing;keyboard_typing,Pixel 5,static,office,the phone is ringing while typing on a keyboard in a static setting,CC0 (Public Domain Dedication),7f3e2349d27dcc3e,
001317.wav,keychain;door_open_close,Iphone 15 ,mobile,bedroom,I was leaving my home so I use the keys opened and then closed the doors.,CC0 (Public Domain Dedication),0299aa2b68300843,
000396.wav,bell_ringing;keychain;door_open_close;footsteps,Samsung Galaxy Z Flip 5,mobile,bedroom;hallway,The bell rang so I took my keys and went to open the room door. Then I walked to the apartment door and opened it.,CC0 (Public Domain Dedication),e07525ce675f511e,
000485.wav,microwave;running_water;cutlery_dishes,Iphone 13 Pro,static,kitchen,"The microwave starts and is running in the kitchen. I then start washing dishes, so running water and cutlery or dish sounds become audible while the microwave is still on. At the end, the microwave stops and its biping is audible.","CC-BY 4.0 (Attribution License), Author: Andre Navas Rivera",eceb78118e7a2e8d,
004971.wav,light_switch;vacuum_cleaner,proove_live_wireless_microphone,mobile,bedroom,"I entered the bedroom, turned the lights on and started vacuuming.",CC0 (Public Domain Dedication),fb90d286094b9630,
004968.wav,keychain;footsteps,proove_live_wireless_microphone,mobile,hallway,"I walked trough the hallway with my keychain in hand, then I stopped and placed keychain on the table.",CC0 (Public Domain Dedication),fb90d286094b9630,
000282.wav,running_water;cutlery_dishes,iphone 16 plus,static,kitchen,"I opened water tap to wet the sponge, after i closed it and washed the kitchendeck surface, then i opened water tap and started washing dishes","CC-BY 4.0 (Attribution License), Author: Aleksei Ermakov",fe55c87bdc2c488e,sponge_scrub
004352.wav,microwave;running_water,iPhone 15,static,kitchen,"While the microwave was running, I turned the faucet. Then, as the water was running, the microwave beeped and stopped.",CC0 (Public Domain Dedication),c5e8e21dda6617c8,
000736.wav,keyboard_typing;footsteps;window_open_close,POCO F5,static,office,"I was typing on my keyboard, then I got up from my chair and walked to the window, opening it. Then I walked back to my chair.","CC-BY 4.0 (Attribution License), Author: Ashutush Choudhury",a2bd055b71f607b6,desk_chair_moving;breathing
002768.wav,vacuum_cleaner,iPhone 13,static,living_room,I turned on the vacuum cleaner and vacuumed the floor.,CC0 (Public Domain Dedication),b6c6cb5e262134f3,
001476.wav,running_water;wardrobe_drawer_open_close;toilet_flushing,Xiaomi Poco X3,static,kitchen,"Water runs in the background, a drawer opens and closes to retrieve a pot. The pot gets filled with the water, faucet turned off, and the water drained down a toilet by flushing",CC0 (Public Domain Dedication),e399d2af2ac34c31,spilling_water
